Job ID: 1.5.18.5702956011984257026 
Case: 2015-TEST-CASE (TEST) 
Appliance: www.dummysite.co.uk 
29/01/2016 13:57:21   Starting scheduled job: 2015-TEST-CASE (TEST) : Process documents from "Batch_Test_0001" in batch "Batch_Test_0001".
02/02/2016 01:43:02   www.dummysite.co.uk Indexer           Processed 101,605 documents (285.64 GB)
02/02/2016 01:54:45   www.dummysite.co.uk Indexer           Processed 102,164 documents (286.05 GB)
02/02/2016 01:59:16   www.dummysite.co.uk Indexer           Processed 102,671 documents (286.42 GB)
02/02/2016 02:10:21   www.dummysite.co.uk Indexer           Processed 103,218 documents (286.74 GB)
02/02/2016 02:11:31   www.dummysite.co.uk Indexer           Processed 103,742 documents (286.96 GB)
02/02/2016 02:12:52   www.dummysite.co.uk Indexer           Processed 104,356 documents (287.20 GB)
02/02/2016 02:13:12   www.dummysite.co.uk Indexer           Processed 105,373 documents (287.26 GB)
02/02/2016 02:18:25   www.dummysite.co.uk Indexer           Processed 106,314 documents (287.43 GB)
02/02/2016 02:18:35   www.dummysite.co.uk Indexer           Processed 106,952 documents (287.46 GB)
02/02/2016 02:50:44   www.dummysite.co.uk Indexer           Processed 107,721 documents (287.55 GB)
02/02/2016 02:50:54   www.dummysite.co.uk Indexer           Processed 109,045 documents (287.59 GB)
02/02/2016 02:51:05   www.dummysite.co.uk Indexer           Processed 109,728 documents (287.64 GB)
02/02/2016 02:51:15   www.dummysite.co.uk Indexer           Processed 110,657 documents (287.67 GB)
02/02/2016 02:51:25   www.dummysite.co.uk Indexer           Processed 111,244 documents (287.70 GB)
02/02/2016 02:51:45   www.dummysite.co.uk Indexer           Processed 112,617 documents (287.79 GB)
02/02/2016 02:52:05   www.dummysite.co.uk Indexer           Processed 113,735 documents (287.87 GB)
02/02/2016 02:52:15   www.dummysite.co.uk Indexer           Processed 114,443 documents (287.92 GB)
02/02/2016 02:57:13   www.dummysite.co.uk Indexer           Completed
02/02/2016 02:57:14   www.dummysite.co.uk System            Started transferring files to processing node(s) in preparation for Post-Processing
02/02/2016 02:57:14   www.dummysite.co.uk System            File transfer has completed
02/02/2016 02:57:15   www.dummysite.co.uk System            Total Progress: 11%
02/02/2016 02:57:15   www.dummysite.co.uk Validator         Starting component and waiting for resources
